Title, Year, Director, Runtime
The Dark Knight Rises, 2012, Christopher Nolan, 165 min
The Matrix, 1999, The Wachowskis, 136 min
Avengers: Endgame, 2019, Russo Brothers, 181 min
John Wick: Chapter 3 - Parabellum, 2019, Chad Stahelski, 131 min
